"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"16484-77-8";"mecoprop-P";"Log P";"0,02";"";;"7";""
"16484-77-8";"mecoprop-P";"Log P";"-0,18";"";;"9";""
"16484-77-8";"mecoprop-P";"Log P";"1,43";"";;"5";""
"16484-77-8";"mecoprop-P";"pka";"3,86";"";20;"";""
"16484-77-8";"mecoprop-P";"Pression de vapeur";"0.23";"mPa";20;"";""
"16484-77-8";"mecoprop-P";"Solubilité dans l'eau";"0.86";"g/L";20;"3,1";""
"135590-91-9";"mefenpyr diethyl";"Constante de Henry";"2.61 e-4";"Pa.m3/mol";25;"";""
"135590-91-9";"mefenpyr diethyl";"Constante de Henry";"1.18 e-4";"Pa.m3/mol";20;"";""
"135590-91-9";"mefenpyr diethyl";"Log P";"3,83";"";21;"6,3";""
"135590-91-9";"mefenpyr diethyl";"pka";"";"";;"";""
"135590-91-9";"mefenpyr diethyl";"Pression de vapeur";"6.3";"µPa";20;"";""
"135590-91-9";"mefenpyr diethyl";"Pression de vapeur";"0.57";"mPa";50;"";""
"135590-91-9";"mefenpyr diethyl";"Pression de vapeur";"14";"µPa";25;"";""
"135590-91-9";"mefenpyr diethyl";"Solubilité dans l'eau";"20";"mg/L";20;"6,2";""
"1417782-03-6";"méfentrifluconazole";"Constante de Henry";"1,6x10^-3";"Pa.m3/mol";20;"";""
"1417782-03-6";"méfentrifluconazole";"Log P";"3,3";"";20;"7";""
"1417782-03-6";"méfentrifluconazole";"Log P";"3,4";"";20;"9";""
"1417782-03-6";"méfentrifluconazole";"Log P";"3,4";"";20;"7";""
"1417782-03-6";"méfentrifluconazole";"Log P";"3,4";"";20;"4";""
"1417782-03-6";"méfentrifluconazole";"pka";"3";"";;"";""
"1417782-03-6";"méfentrifluconazole";"Pression de vapeur";"3,2x10^-6";"Pa";20;"";""
"1417782-03-6";"méfentrifluconazole";"Pression de vapeur";"6,5x10^-6";"Pa";25;"";""
"1417782-03-6";"méfentrifluconazole";"Solubilité dans l'eau";"0,81";"mg/L";20;"6,8";""
"1417782-03-6";"méfentrifluconazole";"Solubilité dans l'eau";"0,71";"mg/L";20;"7";""
"1417782-03-6";"méfentrifluconazole";"Solubilité dans l'eau";"0,66";"mg/L";20;"4";""
"110235-47-7";"mepanipyrim";"Constante de Henry";"1.67 e-3";"Pa.m3/mol";;"";""
"110235-47-7";"mepanipyrim";"Log P";"3,28";"";20;"6,5 à 6,8";""
"110235-47-7";"mepanipyrim";"pka";"2,7";"";;"";""
"110235-47-7";"mepanipyrim";"Pression de vapeur";"23.2";"µPa";25;"";""
"110235-47-7";"mepanipyrim";"Solubilité dans l'eau";"1.94";"mg/L";20;"9";""
"110235-47-7";"mepanipyrim";"Solubilité dans l'eau";"2.08";"mg/L";20;"7";""
"110235-47-7";"mepanipyrim";"Solubilité dans l'eau";"4.6";"mg/L";20;"4";""
"24307-26-4";"mepiquat-chlorure";"Constante de Henry";"3 e-12";"Pa.m3/mol";;"";""
"24307-26-4";"mepiquat-chlorure";"Log P";"-3,14";"";20;"10";""
"24307-26-4";"mepiquat-chlorure";"Log P";"-3,55";"";20;"7";""
"24307-26-4";"mepiquat-chlorure";"Log P";"-3,45";"";20;"";""
"24307-26-4";"mepiquat-chlorure";"Log P";"-3,2";"";20;"4";""
"24307-26-4";"mepiquat-chlorure";"pka";"";"";;"";""
"24307-26-4";"mepiquat-chlorure";"Pression de vapeur";"<10";"nPa";20;"";""
"24307-26-4";"mepiquat-chlorure";"Solubilité dans l'eau";">500";"g/L";;"";""
"6119-92-2";"meptyldinocap";"Constante de Henry";"1.16x10-2";"Pa.m3/mol";;"";""
"6119-92-2";"meptyldinocap";"Log P";"6,55";"";20,5;"7";""
"6119-92-2";"meptyldinocap";"pka";"";"";;"";""
"6119-92-2";"meptyldinocap";"Pression de vapeur";"7.92x10-6";"Pa";25;"";""
"6119-92-2";"meptyldinocap";"Solubilité dans l'eau";"2.48x10-4";"g/L";20;"7";""
"208465-21-8";"mesosulfuron methyl";"Constante de Henry";"3.649x10^-12";"Pa.m3/mol";20;"7";""
"208465-21-8";"mesosulfuron methyl";"Constante de Henry";"2,434x10^-10";"Pa.m3/mol";20;"5";""
"208465-21-8";"mesosulfuron methyl";"Constante de Henry";"1,145x10^-13";"Pa.m3/mol";20;"9";""
"208465-21-8";"mesosulfuron methyl";"Log P";"-2,06";"";25;"9";""
"208465-21-8";"mesosulfuron methyl";"Log P";"-0,48";"";25;"7";""
"208465-21-8";"mesosulfuron methyl";"Log P";"-2,1";"";25;"10";""
"208465-21-8";"mesosulfuron methyl";"Log P";"1,9";"";52;"4";""
"208465-21-8";"mesosulfuron methyl";"Log P";"1,39";"";25;"5";""
"208465-21-8";"mesosulfuron methyl";"pka";"4,35";"";20;"";""
"208465-21-8";"mesosulfuron methyl";"Pression de vapeur";"1,1x10^-11";"Pa";25;"";""
"208465-21-8";"mesosulfuron methyl";"Pression de vapeur";"3,5x10^-12";"Pa";20;"";""
"208465-21-8";"mesosulfuron methyl";"Pression de vapeur";"3,3x10^-11";"Pa";30;"";""
"208465-21-8";"mesosulfuron methyl";"Solubilité dans l'eau";"7.24";"mg/L";20;"5";""
"208465-21-8";"mesosulfuron methyl";"Solubilité dans l'eau";"483";"mg/L";20;"7";""
"208465-21-8";"mesosulfuron methyl";"Solubilité dans l'eau";"15.39";"g/L";20;"9";""
"208465-21-8";"mesosulfuron methyl";"Solubilité dans l'eau";"13.8";"g/L";;"10";""
"208465-21-8";"mesosulfuron methyl";"Solubilité dans l'eau";"2.15";"mg/L";;"4";""
"104206-82-8";"mesotrione";"Constante de Henry";"<5.1*10^-7";"Pa.m3/mol";20;"";""
"104206-82-8";"mesotrione";"Log P";"-1";"";20;"7";""
"104206-82-8";"mesotrione";"Log P";"-1";"";20;"9";""
"104206-82-8";"mesotrione";"Log P";"-1,1";"";20;"5";""
"104206-82-8";"mesotrione";"pka";"3,12";"";20;"";""
"104206-82-8";"mesotrione";"Pression de vapeur";"<5.7*10^-6";"Pa";20;"";""
"104206-82-8";"mesotrione";"Solubilité dans l'eau";"160";"mg/L";20;"";""
"104206-82-8";"mesotrione";"Solubilité dans l'eau";"2200";"mg/L";20;"4,8";""
"104206-82-8";"mesotrione";"Solubilité dans l'eau";"2200";"mg/L";20;"9";""
"104206-82-8";"mesotrione";"Solubilité dans l'eau";"1500";"mg/L";20;"6,9";""
"70630-17-0";"metalaxyl-M";"Constante de Henry";"3.5x10^-5";"Pa.m3/mol";25;"";""
"70630-17-0";"metalaxyl-M";"Log P";"1,71";"";25;"7,6";""
"70630-17-0";"metalaxyl-M";"pka";"";"";;"";""
"70630-17-0";"metalaxyl-M";"Pression de vapeur";"3.3x10^-3";"Pa";25;"";""
"70630-17-0";"metalaxyl-M";"Solubilité dans l'eau";"26";"g/L";25;"";""
"108-62-3 (tetramer)";"metaldehyde";"Constante de Henry";"3.5";"Pa.m3/mol";20;"";""
"108-62-3 (tetramer)";"metaldehyde";"Log P";"0,12";"";20;"6,7";""
"108-62-3 (tetramer)";"metaldehyde";"pka";"";"";;"";""
"108-62-3 (tetramer)";"metaldehyde";"Pression de vapeur";"4.4";"Pa";20;"";""
"108-62-3 (tetramer)";"metaldehyde";"Pression de vapeur";"6.6";"Pa";25;"";""
"108-62-3 (tetramer)";"metaldehyde";"Solubilité dans l'eau";"0.186";"g/L";;"9";""
"108-62-3 (tetramer)";"metaldehyde";"Solubilité dans l'eau";"0.188";"g/L";;"7,2";""
"108-62-3 (tetramer)";"metaldehyde";"Solubilité dans l'eau";"0.196";"g/L";;"5";""
"41394-05-2";"metamitrone";"Constante de Henry";"8,95 10-8";"Pa.m3/mol";;"";""
"41394-05-2";"metamitrone";"Log P";"0,85";"";21;"";""
"41394-05-2";"metamitrone";"pka";"";"";;"";""
"41394-05-2";"metamitrone";"Pression de vapeur";"0,744";"µPa";25;"";""
"41394-05-2";"metamitrone";"Solubilité dans l'eau";"1,68";"g/L";;"7";""
"41394-05-2";"metamitrone";"Solubilité dans l'eau";"1.77";"g/L";25;"";""
"67129-08-2";"metazachlore";"Constante de Henry";"5,9 x10^-5";"Pa.m3/mol";20;"";""
"67129-08-2";"metazachlore";"Log P";"2,49";"";21;"7";""
"67129-08-2";"metazachlore";"Log P";"2,5";"";22;"2,1 à 7";""
"67129-08-2";"metazachlore";"pka";"";"";;"";""
"67129-08-2";"metazachlore";"Pression de vapeur";"0,19x10^-5";"Pa";25;"";""
"67129-08-2";"metazachlore";"Pression de vapeur";"0,22x10^-5";"Pa";25;"";""
"67129-08-2";"metazachlore";"Pression de vapeur";"8,12x10^-5";"Pa";20;"";""
"67129-08-2";"metazachlore";"Pression de vapeur";"9,5x10^-5";"Pa";20;"";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,71";"g/L";20;"0,3";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,63";"g/L";25;"7";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,59";"g/L";25;"5";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,56";"g/L";25;"5,7";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,55";"g/L";25;"9";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,45";"g/L";20;"7";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,43";"g/L";20;"3,8";""
"67129-08-2";"metazachlore";"Solubilité dans l'eau";"0,45";"g/L";20;"1,3";""
"125116-23-6 (unstated stereochemistry)";"metconazole";"Constante de Henry";"2.21 10-7";"Pa.m3/mol";20;"";""
"125116-23-6 (unstated stereochemistry)";"metconazole";"Log P";"3,85";"";20;"7,2 à 8";""
"125116-23-6 (unstated stereochemistry)";"metconazole";"pka";"11,38";"";;"";""
"125116-23-6 (unstated stereochemistry)";"metconazole";"pka";"1,08";"";;"";""
"125116-23-6 (unstated stereochemistry)";"metconazole";"Pression de vapeur";"2.1 10-8";"Pa";20;"";""
"125116-23-6 (unstated stereochemistry)";"metconazole";"Solubilité dans l'eau";"30.4";"mg/L";20;"7,5";""
"161050-58-4";"methoxyfenozide";"Constante de Henry";"<1.64x10^-4";"Pa.m3/mol";20;"";""
"161050-58-4";"methoxyfenozide";"Log P";"3,72";"";25;"";""
"161050-58-4";"methoxyfenozide";"pka";"12,2";"";;"";""
"161050-58-4";"methoxyfenozide";"Pression de vapeur";"<1.33x10^-5";"Pa";35;"";""
"161050-58-4";"methoxyfenozide";"Pression de vapeur";"<1.33x10-5";"Pa";45;"";""
"161050-58-4";"methoxyfenozide";"Pression de vapeur";"<1.33x10^-5";"Pa";25;"";""
"161050-58-4";"methoxyfenozide";"Solubilité dans l'eau";"3,3";"mg/L";20;"";""
"9006-42-2";"metiram-zinc";"Constante de Henry";"<0.0054";"Pa.m3/mol";20;"";""
"9006-42-2";"metiram-zinc";"Log P";"1,9";"";;"5";""
"9006-42-2";"metiram-zinc";"Log P";"1,76";"";;"7";""
"9006-42-2";"metiram-zinc";"Log P";"0,32";"";;"9";""
"9006-42-2";"metiram-zinc";"Pression de vapeur";"<10";"µPa";25;"";""
"9006-42-2";"metiram-zinc";"Solubilité dans l'eau";"<=2";"mg/L";20;"";""
"3060-89-7";"metobromuron";"Constante de Henry";"1,14 10-4";"Pa.m3/mol";20;"";""
"3060-89-7";"metobromuron";"Log P";"2,48";"";20;"7,3";""
"3060-89-7";"metobromuron";"pka";"12";"";20;"";""
"3060-89-7";"metobromuron";"Pression de vapeur";"0,219";"mPa";25;"";""
"3060-89-7";"metobromuron";"Pression de vapeur";"0,144";"mPa";20;"";""
"3060-89-7";"metobromuron";"Solubilité dans l'eau";"328";"mg/L";20;"";""
"139528-85-1";"metosulam";"Constante de Henry";"8 e-13";"Pa.m3/mol";20;"";""
"139528-85-1";"metosulam";"Log P";"2,46";"";20;"7";""
"139528-85-1";"metosulam";"Log P";"3,08";"";20;"9";""
"139528-85-1";"metosulam";"Log P";"2,12";"";20;"5";""
"139528-85-1";"metosulam";"pka";"4,8";"";;"";""
"139528-85-1";"metosulam";"Pression de vapeur";"0.0004";"nPa";20;"";""
"139528-85-1";"metosulam";"Solubilité dans l'eau";"200";"mg/L";20;"";""
"139528-85-1";"metosulam";"Solubilité dans l'eau";"5600";"mg/L";20;"9";""
"139528-85-1";"metosulam";"Solubilité dans l'eau";"100";"mg/L";20;"5";""
"139528-85-1";"metosulam";"Solubilité dans l'eau";"700";"mg/L";20;"7";""
"220899-03-6";"metrafenone";"Constante de Henry";"0.132";"Pa.m3/mol";20;"";""
"220899-03-6";"metrafenone";"Log P";"4,3";"";25;"";""
"220899-03-6";"metrafenone";"Pression de vapeur";"0.256";"mPa";25;"";""
"220899-03-6";"metrafenone";"Pression de vapeur";"0.153";"mPa";20;"";""
"220899-03-6";"metrafenone";"Solubilité dans l'eau";"0.552";"mg/L";20;"5";""
"220899-03-6";"metrafenone";"Solubilité dans l'eau";"0.492";"mg/L";20;"7";""
"220899-03-6";"metrafenone";"Solubilité dans l'eau";"0.457";"mg/L";20;"9";""
"220899-03-6";"metrafenone";"Solubilité dans l'eau";"0.474";"mg/L";20;"";""
"21087-64-9";"metribuzine";"Constante de Henry";"2.0 10-5";"Pa.m3/mol";;"";""
"21087-64-9";"metribuzine";"Log P";"1,6";"";20;"4 à 9";""
"21087-64-9";"metribuzine";"pka";"";"";;"";""
"21087-64-9";"metribuzine";"Pression de vapeur";"1.21 e-4";"Pa";20;"";""
"21087-64-9";"metribuzine";"Solubilité dans l'eau";"1.05";"g/L";20;"4 à 9";""
"74223-64-6";"metsulfuron methyle";"Constante de Henry";"4,8x10-9";"Pa.m3/mol";;"";""
"74223-64-6";"metsulfuron methyle";"Log P";"-1,7";"";25;"7";""
"74223-64-6";"metsulfuron methyle";"pka";"3,75";"";;"";""
"74223-64-6";"metsulfuron methyle";"Pression de vapeur";"1.1x10-9";"Pa";20;"";""
"74223-64-6";"metsulfuron methyle";"Pression de vapeur";"3.2x10-9";"Pa";25;"";""
"74223-64-6";"metsulfuron methyle";"Solubilité dans l'eau";"213";"g/L";25;"9";""
"74223-64-6";"metsulfuron methyle";"Solubilité dans l'eau";"2.79";"g/L";;"7";""
"74223-64-6";"metsulfuron methyle";"Solubilité dans l'eau";"548";"mg/L";;"5";""
"51596-10-2";"milbemectine";"Constante de Henry";"2.56 e-3";"Pa.m3/mol";;"";"MILBEMYCYNE A3"
"51596-10-2";"milbemectine";"Constante de Henry";"1.55 e-3";"Pa.m3/mol";;"";"MILBEMYCYNE A4"
"51596-10-2";"milbemectine";"Log P";"6,54";"";25;"";"MILBEMYCYNE A3"
"51596-10-2";"milbemectine";"Log P";"7";"";25;"";"MILBEMYCYNE A4"
"51596-10-2";"milbemectine";"pka";"";"";;"";""
"51596-10-2";"milbemectine";"Pression de vapeur";"<13";"µPa";25;"";""
"51596-10-2";"milbemectine";"Pression de vapeur";"0.43";"nPa";20;"";"MILBEMYCINE A4"
"51596-10-2";"milbemectine";"Pression de vapeur";"0.0097";"nPa";20;"";"MILBEMYCINE A3"
"51596-10-2";"milbemectine";"Solubilité dans l'eau";"4.55";"mg/L";20;"";"MILBEMYCYNE A4"
"51596-10-2";"milbemectine";"Solubilité dans l'eau";"2.68";"mg/L";20;"";"MILBEMYCYNE A3"
"88671-89-0";"myclobutanil";"Constante de Henry";"4.33 E-4";"Pa.m3/mol";20;"";""
"88671-89-0";"myclobutanil";"Log P";"3,17";"";20;"4 à 9";""
"88671-89-0";"myclobutanil";"Log P";"3,5";"";;"";""
"88671-89-0";"myclobutanil";"Log P";"2,89";"";20;"7";""
"88671-89-0";"myclobutanil";"pka";"2,3";"";;"";""
"88671-89-0";"myclobutanil";"Pression de vapeur";"0.198";"mPa";20;"";""
"88671-89-0";"myclobutanil";"Solubilité dans l'eau";"124";"mg/L";20;"3 à 5";""
"88671-89-0";"myclobutanil";"Solubilité dans l'eau";"115";"mg/L";20;"9 à 11";""
"88671-89-0";"myclobutanil";"Solubilité dans l'eau";"132";"mg/L";20;"7";""
"15299-99-7";"napropamide";"Constante de Henry";"8,1 10-5";"Pa.m3/mol";;"";""
"15299-99-7";"napropamide";"Log P";"3,3";"";;"";""
"15299-99-7";"napropamide";"pka";"";"";;"";""
"15299-99-7";"napropamide";"Pression de vapeur";"2,2 10-5";"Pa";25;"";""
"15299-99-7";"napropamide";"Solubilité dans l'eau";"74";"mg/L";25;"";""
"111991-09-4";"nicosulfuron";"Constante de Henry";"1.48 x e-11";"Pa.m3/mol";20;"";""
"111991-09-4";"nicosulfuron";"Log P";"=0,61";"";20;"2,3";""
"111991-09-4";"nicosulfuron";"pka";"=7,58";"";;"";""
"111991-09-4";"nicosulfuron";"pka";"=4,78";"";;"";""
"111991-09-4";"nicosulfuron";"Pression de vapeur";"<8 10-10";"Pa";25;"";""
"111991-09-4";"nicosulfuron";"Solubilité dans l'eau";"7.5";"g/L";20;"6,5";""
"111991-09-4";"nicosulfuron";"Solubilité dans l'eau";"0.25";"g/L";20;"5";""
"111991-09-4";"nicosulfuron";"Solubilité dans l'eau";"76.4";"g/L";20;"9";""
"19044-88-3";"oryzalin";"Constante de Henry";"2.74x10^-8";"Pa.m3/mol";20;"5";""
"19044-88-3";"oryzalin";"Constante de Henry";"4.07x10^-9";"Pa.m3/mol";20;"10";""
"19044-88-3";"oryzalin";"Constante de Henry";"3.37x10^-8";"Pa.m3/mol";20;"7";""
"19044-88-3";"oryzalin";"Log P";"3,78";"";20;"5";""
"19044-88-3";"oryzalin";"Log P";"3,75";"";20;"7";""
"19044-88-3";"oryzalin";"Log P";"2,95";"";20;"10";""
"19044-88-3";"oryzalin";"pka";"9,33";"";;"";""
"19044-88-3";"oryzalin";"Pression de vapeur";"1,1x10^-10";"Pa";20;"";""
"19044-88-3";"oryzalin";"Solubilité dans l'eau";"9.36";"mg/L";20;"";""
"19044-88-3";"oryzalin";"Solubilité dans l'eau";"1.39";"mg/L";20;"5";""
"19044-88-3";"oryzalin";"Solubilité dans l'eau";"9,36";"mg/L";20;"10";""
"19044-88-3";"oryzalin";"Solubilité dans l'eau";"1.13";"mg/L";20;"7";""
"23135-22-0";"oxamyl";"Constante de Henry";"4.89 e-8";"Pa.m3/mol";25;"";""
"23135-22-0";"oxamyl";"Log P";"-0,44";"";25;"5";""
"23135-22-0";"oxamyl";"pka";"-2,11";"";;"";""
"23135-22-0";"oxamyl";"Pression de vapeur";"51.2";"µPa";25;"";""
"23135-22-0";"oxamyl";"Solubilité dans l'eau";"148.1";"g/L";20;"5";""
"1003318-67-9";"oxathiapiprolin";"Constante de Henry";"3.521*10^-3";"Pa.m3/mol";20;"";""
"1003318-67-9";"oxathiapiprolin";"Log P";"3,66";"";20;"";""
"1003318-67-9";"oxathiapiprolin";"pka";"";"";;"";""
"1003318-67-9";"oxathiapiprolin";"Pression de vapeur";"1.141*10^-6";"Pa";20;"";""
"1003318-67-9";"oxathiapiprolin";"Solubilité dans l'eau";"0.1749";"mg/L";20;"";""
"1003318-67-9";"oxathiapiprolin";"Solubilité dans l'eau";"0,2111";"mg/L";;"4";""
"1003318-67-9";"oxathiapiprolin";"Solubilité dans l'eau";"0,2060";"mg/L";;"9";""
"1003318-67-9";"oxathiapiprolin";"Solubilité dans l'eau";"0,1844";"mg/L";;"7";""
"42874-03-3";"oxyfluorfene";"Constante de Henry";"2,382 e-2";"Pa.m3/mol";25;"";""
"42874-03-3";"oxyfluorfene";"Log P";"4,86";"";18;"";""
"42874-03-3";"oxyfluorfene";"pka";"";"";;"";""
"42874-03-3";"oxyfluorfene";"Pression de vapeur";"260";"µPa";25;"";""
"42874-03-3";"oxyfluorfene";"Solubilité dans l'eau";"0,116";"mg/L";25;"";""
"76738-62-0";"paclobutrazol";"Constante de Henry";"2,39 10-5";"Pa.m3/mol";;"";""
"76738-62-0";"paclobutrazol";"Log P";"3,11";"";23;"6,5";""
"76738-62-0";"paclobutrazol";"pka";"";"";;"";""
"76738-62-0";"paclobutrazol";"Pression de vapeur";"1,9";"µPa";20;"";""
"76738-62-0";"paclobutrazol";"Solubilité dans l'eau";"17,2";"mg/L";20;"5";""
"76738-62-0";"paclobutrazol";"Solubilité dans l'eau";"24,1";"mg/L";20;"9";""
"76738-62-0";"paclobutrazol";"Solubilité dans l'eau";"22,9";"mg/L";20;"";""
"76738-62-0";"paclobutrazol";"Solubilité dans l'eau";"24,8";"mg/L";20;"7";""
"66246-88-6";"penconazole";"Constante de Henry";"6,6 e-4";"Pa.m3/mol";20;"";""
"66246-88-6";"penconazole";"Log P";"3,7";"";25;"5,7";""
"66246-88-6";"penconazole";"pka";"1,51";"";20;"";""
"66246-88-6";"penconazole";"Pression de vapeur";"0,366";"mPa";20;"";""
"66246-88-6";"penconazole";"Solubilité dans l'eau";"0,073";"mg/L";20;"6,7";""
"66063-05-6";"pencycuron";"Constante de Henry";"5 x 10^-7";"Pa.m3/mol";20;"";""
"66063-05-6";"pencycuron";"Log P";"4";"";25;"7";""
"66063-05-6";"pencycuron";"Log P";"4";"";25;"9";""
"66063-05-6";"pencycuron";"Log P";"4";"";25;"4";""
"66063-05-6";"pencycuron";"pka";"";"";;"";""
"66063-05-6";"pencycuron";"Pression de vapeur";"5 x 10^-10";"Pa";20;"";""
"66063-05-6";"pencycuron";"Pression de vapeur";"2 x 10^-9";"Pa";25;"";""
"66063-05-6";"pencycuron";"Solubilité dans l'eau";"0,29";"mg/L";20;"9";""
"66063-05-6";"pencycuron";"Solubilité dans l'eau";"0,26";"mg/L";20;"6,8";""
"66063-05-6";"pencycuron";"Solubilité dans l'eau";"0,35";"mg/L";20;"4";""
"40487-42-1";"pendimethaline";"Constante de Henry";"1,27";"Pa.m3/mol";25;"";""
"40487-42-1";"pendimethaline";"Log P";"5,4";"";20;"6,5";""
"40487-42-1";"pendimethaline";"pka";"2,8";"";;"";""
"40487-42-1";"pendimethaline";"Pression de vapeur";"3,34x10-3";"Pa";25;"";""
"40487-42-1";"pendimethaline";"Solubilité dans l'eau";"0,260";"mg/L";20;"4";""
"40487-42-1";"pendimethaline";"Solubilité dans l'eau";"0,265";"mg/L";20;"9";""
"40487-42-1";"pendimethaline";"Solubilité dans l'eau";"0.309";"mg/L";20;"6";""
"40487-42-1";"pendimethaline";"Solubilité dans l'eau";"0.44";"mg/L";20;"";""
"40487-42-1";"pendimethaline";"Solubilité dans l'eau";"0.54";"mg/L";20;"4";""
"219714-96-2";"penoxsulame";"Constante de Henry";"8.25 x e-15";"Pa.m3/mol";;"9";""
"219714-96-2";"penoxsulame";"Constante de Henry";"2.13 x e-12";"Pa.m3/mol";;"5";""
"219714-96-2";"penoxsulame";"Constante de Henry";"2.95 x e-14";"Pa.m3/mol";;"7";""
"219714-96-2";"penoxsulame";"Log P";"1,137";"";19;"5";""
"219714-96-2";"penoxsulame";"Log P";"-0,602";"";19;"7";""
"219714-96-2";"penoxsulame";"Log P";"-1,418";"";19;"9";""
"219714-96-2";"penoxsulame";"pka";"5,1";"";;"";""
"219714-96-2";"penoxsulame";"Pression de vapeur";"2.49 x e-14";"Pa";20;"";""
"219714-96-2";"penoxsulame";"Pression de vapeur";"9.55 x e-14";"Pa";25;"";""
"219714-96-2";"penoxsulame";"Solubilité dans l'eau";"5.66";"mg/L";19;"5";""
"219714-96-2";"penoxsulame";"Solubilité dans l'eau";"1460";"mg/L";19;"9";""
"219714-96-2";"penoxsulame";"Solubilité dans l'eau";"408";"mg/L";19;"7";""
"183675-82-3";"penthiopyrad";"Constante de Henry";"1,40 x10-4";"Pa.m3/mol";20;"5";""
"183675-82-3";"penthiopyrad";"Constante de Henry";"7,66 x10-3";"Pa.m3/mol";20;"7";""
"183675-82-3";"penthiopyrad";"Constante de Henry";"4,15 x10-4";"Pa.m3/mol";20;"4";""
"183675-82-3";"penthiopyrad";"Constante de Henry";"6,36 x10-3";"Pa.m3/mol";20;"10";""
"183675-82-3";"penthiopyrad";"Log P";"4,62";"";20;"7";""
"183675-82-3";"penthiopyrad";"Log P";"4,54";"";20;"10";""
"183675-82-3";"penthiopyrad";"Log P";"4,43";"";30;"7";""
"183675-82-3";"penthiopyrad";"Log P";"3,9";"";20;"5";""
"183675-82-3";"penthiopyrad";"Log P";"4,36";"";20;"4";""
"183675-82-3";"penthiopyrad";"pka";"10";"";;"";""
"183675-82-3";"penthiopyrad";"Pression de vapeur";"3,7";"mPa";70;"";""
"183675-82-3";"penthiopyrad";"Pression de vapeur";"36,1";"mPa";90;"";""
"183675-82-3";"penthiopyrad";"Pression de vapeur";"6,43";"µPa";25;"";""
"183675-82-3";"penthiopyrad";"Pression de vapeur";"8,04";"mPa";80;"";""
"183675-82-3";"penthiopyrad";"Solubilité dans l'eau";"1,375";"mg/L";20;"7";""
"183675-82-3";"penthiopyrad";"Solubilité dans l'eau";"1,426";"mg/L";30;"7";""
"183675-82-3";"penthiopyrad";"Solubilité dans l'eau";"1,657";"mg/L";20;"10";""
"183675-82-3";"penthiopyrad";"Solubilité dans l'eau";"7,53";"mg/L";20;"5";""
"183675-82-3";"penthiopyrad";"Solubilité dans l'eau";"2,535";"mg/L";20;"4";""
"106700-29-2";"pethoxamid";"Constante de Henry";"1.18* 10^-3";"Pa.m3/mol";20;"";""
"106700-29-2";"pethoxamid";"Log P";"2,96";"";20;"5";""
"106700-29-2";"pethoxamid";"pka";"";"";;"";""
"106700-29-2";"pethoxamid";"Pression de vapeur";"2.8* 10^-3";"Pa";25;"";""
"106700-29-2";"pethoxamid";"Solubilité dans l'eau";"0.4";"g/L";20;"7 à 7,2";""
"13684-63-4";"phenmediphame";"Constante de Henry";"5 e-8";"Pa.m3/mol";20;"";""
"13684-63-4";"phenmediphame";"Log P";"3,59";"";22;"4";""
"13684-63-4";"phenmediphame";"pka";"";"";;"";""
"13684-63-4";"phenmediphame";"Pression de vapeur";"0.7";"nPa";25;"";""
"13684-63-4";"phenmediphame";"Solubilité dans l'eau";"1.8";"mg/L";20;"3,4";""
"732-11-6";"phosmet";"Constante de Henry";"1,36 e-3";"Pa.m3/mol";25;"";""
"732-11-6";"phosmet";"Log P";"2,96";"";25;"7";""
"732-11-6";"phosmet";"pka";"";"";;"";""
"732-11-6";"phosmet";"Pression de vapeur";"65";"µPa";25;"";""
"732-11-6";"phosmet";"Solubilité dans l'eau";"15,2";"mg/L";20;"4,4";""
"10045-86-0";"phosphate ferrique";"Log P";"";"";;"";""
"10045-86-0";"phosphate ferrique";"Solubilité dans l'eau";"0.00000186";"ug/L";25;"";""
"20859-73-8";"phosphure d'aluminium";"Pression de vapeur";"1 x 10^-8";"Pa";25;"";""
"1305-99-3";"phosphure de calcium";"Pression de vapeur";"< 1.0";"mPa";25;"";""
"12057-74-8";"phosphure de magnesium";"pka";"";"";;"";""
"12057-74-8";"phosphure de magnesium";"Pression de vapeur";"1x10^-8";"Pa";25;"";""
"12057-74-8";"phosphure de magnesium";"Pression de vapeur";"<0,001";"Pa";32;"";""
"7803-51-2";"phosphure d'hydrogene";"pka";"";"";;"";""
"7803-51-2";"phosphure d'hydrogene";"Pression de vapeur";"4080000";"Pa";20;"";""
"7803-51-2";"phosphure d'hydrogene";"Solubilité dans l'eau";"0.4";"g/L";20;"";""
"1918-02-1 ";"piclorame";"Constante de Henry";"4.7 e-5";"Pa.m3/mol";;"";""
"1918-02-1 ";"piclorame";"pka";"2,3";"";22;"";""
"1918-02-1 ";"piclorame";"Pression de vapeur";"82.2";"µPa";35;"";""
"1918-02-1 ";"piclorame";"Solubilité dans l'eau";"430";"mg/L";25;"";""
"2545-60-0";"piclorame : sel de potassium";"pka";"4";"";;"";""
"2545-60-0";"piclorame : sel de potassium";"pka";"1,9";"";;"";""
