numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
2140092;GRO-STOP MAX;H351;Susceptible de provoquer le cancer;
2140092;GRO-STOP MAX;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2140092;GRO-STOP MAX;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140092;GRO-STOP MAX;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100208;GRO-STOP READY;H351;Susceptible de provoquer le cancer;
2100208;GRO-STOP READY;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2100208;GRO-STOP READY;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2100208;GRO-STOP READY;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2100208;GRO-STOP READY;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8900388;NEO CONSERVIET LIQUIDE 300;H317;Peut provoquer une allergie cutanée;
8900388;NEO CONSERVIET LIQUIDE 300;H319;Provoque une sévère irritation des yeux;
8900388;NEO CONSERVIET LIQUIDE 300;H335;Peut irriter les voies respiratoires;
8900388;NEO CONSERVIET LIQUIDE 300;H336;Peut provoquer somnolence ou des vertiges;
8900388;NEO CONSERVIET LIQUIDE 300;H351;Susceptible de provoquer le cancer;
8900388;NEO CONSERVIET LIQUIDE 300;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
8900388;NEO CONSERVIET LIQUIDE 300;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
8900388;NEO CONSERVIET LIQUIDE 300;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
7500071;NEOCONSERVIET;H351;Susceptible de provoquer le cancer;
7500071;NEOCONSERVIET;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090180;NEO-STOP L500 HN;H351;Susceptible de provoquer le cancer;
2090180;NEO-STOP L500 HN;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2090180;NEO-STOP L500 HN;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110188;NEOSTOP STARTER;H317;Peut provoquer une allergie cutanée;
2110188;NEOSTOP STARTER;H351;Susceptible de provoquer le cancer;
2110188;NEOSTOP STARTER;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2110188;NEOSTOP STARTER;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2100101;NEO-STOP 1000 HN;H351;Susceptible de provoquer le cancer;
2100101;NEO-STOP 1000 HN;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2100101;NEO-STOP 1000 HN;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090067;POLDER BASIC;H351;Susceptible de provoquer le cancer;
2090067;POLDER BASIC;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2090067;POLDER BASIC;H413;Peut être nocif à long terme pour les organismes aquatiques;
2000099;POLDER 1%;H351;Susceptible de provoquer le cancer;
2000099;POLDER 1%;H413;Peut être nocif à long terme pour les organismes aquatiques;
2140064;TUBERPROP EASY;H315;Provoque une irritation cutanée;
2140064;TUBERPROP EASY;H317;Peut provoquer une allergie cutanée;
2140064;TUBERPROP EASY;H318;Provoque des lésions oculaires graves;
2140064;TUBERPROP EASY;H351;Susceptible de provoquer le cancer;
2140064;TUBERPROP EASY;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2140064;TUBERPROP EASY;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140064;TUBERPROP EASY;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800455;LABELIS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500551;CYCLADE;H290;Peut être corrosif pour les métaux;
9500551;CYCLADE;H301;Toxique en cas d'ingestion;
9500551;CYCLADE;H332;Nocif par inhalation;
9500551;CYCLADE;H335;Peut irriter les voies respiratoires;
9500551;CYCLADE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100194;BIOX-M;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2100194;BIOX-M;H317;Peut provoquer une allergie cutanée;
9300186;HORIZON ARBO;H361d;Susceptible de nuire au foetus;
9300186;HORIZON ARBO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9300186;HORIZON ARBO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140193;RAIDMOUSS JARDIN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090104;DOURO;H319;Provoque une sévère irritation des yeux;
2090104;DOURO;H361d;Susceptible de nuire au foetus;
2090104;DOURO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140063;TUBERPROP ULTRA;H315;Provoque une irritation cutanée;
2140063;TUBERPROP ULTRA;H319;Provoque une sévère irritation des yeux;
2140063;TUBERPROP ULTRA;H351;Susceptible de provoquer le cancer;
2140063;TUBERPROP ULTRA;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2140063;TUBERPROP ULTRA;H413;Peut être nocif à long terme pour les organismes aquatiques;
2090051;XEDAMATE 60;H317;Peut provoquer une allergie cutanée;
2090051;XEDAMATE 60;H319;Provoque une sévère irritation des yeux;
2090051;XEDAMATE 60;H351;Susceptible de provoquer le cancer;
2090051;XEDAMATE 60;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2090051;XEDAMATE 60;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110201;VIVERDA;H315;Provoque une irritation cutanée;
2110201;VIVERDA;H317;Peut provoquer une allergie cutanée;
2110201;VIVERDA;H319;Provoque une sévère irritation des yeux;
2110201;VIVERDA;H332;Nocif par inhalation;
2110201;VIVERDA;H351;Susceptible de provoquer le cancer;
2110201;VIVERDA;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2110201;VIVERDA;H400;Très toxique pour les organismes aquatiques;
2110201;VIVERDA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600526;BION 50 WG;H315;Provoque une irritation cutanée;
9600526;BION 50 WG;H317;Peut provoquer une allergie cutanée;
9600526;BION 50 WG;H319;Provoque une sévère irritation des yeux;
9600526;BION 50 WG;H400;Très toxique pour les organismes aquatiques;
9600526;BION 50 WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600526;BION 50 WG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2140143;CIDETRAK-OFM;H400;Très toxique pour les organismes aquatiques;
2140143;CIDETRAK-OFM;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2180334;INSTRATA ELITE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120071;SCIMITAR PRO;H400;Très toxique pour les organismes aquatiques;
2120071;SCIMITAR PRO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120071;SCIMITAR PRO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2080125;RACING;H319;Provoque une sévère irritation des yeux;
2080125;RACING;H400;Très toxique pour les organismes aquatiques;
2080125;RACING;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140002;SARACEN;H400;Très toxique pour les organismes aquatiques;
2140002;SARACEN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140002;SARACEN;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2140002;SARACEN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2190312;SARACEN DELTA;H400;Très toxique pour les organismes aquatiques;
2190312;SARACEN DELTA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190312;SARACEN DELTA;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique.;
2190200;GARLAND;H317;Peut provoquer une allergie cutanée;
2190200;GARLAND;H319;Provoque une sévère irritation des yeux;
9800453;YETI;H302;Nocif en cas d'ingestion;
9800453;YETI;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9800453;YETI;H317;Peut provoquer une allergie cutanée;
9800453;YETI;H319;Provoque une sévère irritation des yeux;
9800453;YETI;H336;Peut provoquer somnolence ou des vertiges;
9800453;YETI;H361d;Susceptible de nuire au foetus;
9800453;YETI;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9800453;YETI;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9800453;YETI;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500002;IPIGLYCE;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700520;IPIGLYCE IND;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700521;IPIGLYCE PJT;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2050146;LIKID ALLEES J;H400;Très toxique pour les organismes aquatiques;
2050146;LIKID ALLEES J;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2050146;LIKID ALLEES J;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2050146;LIKID ALLEES J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010147;OXALIS PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010319;PAVAPROP NG;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090050;BELEM 0,8 MG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2030062;PROPEVE 480;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600023;RADICAL EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9700124;RATO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090176;RESOLVA 24H SPRAY;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090012;ROUNDUP AT PLUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120019;ROUNDUP STAR PLUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9900396;ROUNDUP STAR 360;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9700259;ROUNDUP ULTRA;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9120616;DETRUI-MOUSSE;H302;Nocif en cas d'ingestion;
9120616;DETRUI-MOUSSE;H315;Provoque une irritation cutanée;
9120616;DETRUI-MOUSSE;H319;Provoque une sévère irritation des yeux;
2100017;CONSENTO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100017;CONSENTO;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2100017;CONSENTO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2150098;QUILT XCEL;H302;Nocif en cas d'ingestion;
2150098;QUILT XCEL;H319;Provoque une sévère irritation des yeux;
2150098;QUILT XCEL;H332;Nocif par inhalation;
2150098;QUILT XCEL;H400;Très toxique pour les organismes aquatiques;
2150098;QUILT XCEL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150098;QUILT XCEL;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2090045;POLYSECT ULTRA AE;H229;Récipient sous pression: peut éclater sous l'effet de la chaleur;
2020226;NOROIT;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2020226;NOROIT;H336;Peut provoquer somnolence ou des vertiges;
2020226;NOROIT;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9700329;CYMSUN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900199;AQUILON;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010598;COURSON;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500467;MAXIM;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160836;DIFFERENCE;H302;Nocif en cas d'ingestion;
2160836;DIFFERENCE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2160836;DIFFERENCE;H319;Provoque une sévère irritation des yeux;
2160836;DIFFERENCE;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2160836;DIFFERENCE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160836;DIFFERENCE;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2110020;INNOVATE;H315;Provoque une irritation cutanée;
2110020;INNOVATE;H317;Peut provoquer une allergie cutanée;
2110020;INNOVATE;H400;Très toxique pour les organismes aquatiques;
2110020;INNOVATE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2020049;ABSOLU;H315;Provoque une irritation cutanée;
2020049;ABSOLU;H318;Provoque des lésions oculaires graves;
2020049;ABSOLU;H400;Très toxique pour les organismes aquatiques;
2020049;ABSOLU;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600491;DINAMIK;H302;Nocif en cas d'ingestion;
9600491;DINAMIK;H319;Provoque une sévère irritation des yeux;
9600491;DINAMIK;H332;Nocif par inhalation;
9600491;DINAMIK;H351;Susceptible de provoquer le cancer;
9600491;DINAMIK;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
9600491;DINAMIK;H400;Très toxique pour les organismes aquatiques;
9600491;DINAMIK;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600491;DINAMIK;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
